variable_original,puntuacion_media,puntuacion_max,targets_2_metodos,targets_3_metodos,targets_puntuacion_090,targets_puntuacion_095
SYNMRJREC,0.6088048380483805,0.6927019270192702,0,0,0,0
ALCMLU,0.5835383353833539,0.6920869208692088,0,0,0,0
GRSKHERWK,0.46755842558425587,0.6912669126691267,0,0,0,0
SNRLDCSN,0.5945059450594505,0.6912669126691267,0,0,0,0
COCYRBFR,0.6044485444854448,0.6908569085690858,0,0,0,0
BKBURGL,0.5046125461254612,0.6904469044690447,0,0,0,0
SVYROPIMIS,0.5372078720787208,0.6896268962689627,0,0,0,0
DRVINCOCN,0.6092660926609266,0.6879868798687987,0,0,0,0
ECSTMOFLAG,0.6216687166871668,0.6875768757687576,0,0,0,0
CIGINFLU,0.6474477244772449,0.6873718737187372,0,0,0,0
BKMVTHFT,0.48600861008610086,0.6859368593685936,0,0,0,0
ILTOBALCYR,0.45530955309553095,0.6859368593685936,0,0,0,0
DRVINALON,0.5431529315293153,0.6851168511685116,0,0,0,0
COCMLU,0.5989134891348913,0.6847068470684707,0,0,0,0
RSKHERWK,0.4661234112341124,0.6847068470684707,0,0,0,0
BKDRVINF,0.502870028700287,0.6842968429684296,0,0,0,0
FLVVAPYR,0.5977859778597786,0.6842968429684296,0,0,0,0
DIFOBTCOC,0.6090610906109061,0.6834768347683476,0,0,0,0
GRSKCIGPKD,0.5555043050430504,0.6834768347683476,0,0,0,0
SVYROPIANY2,0.5979909799097991,0.6830668306683068,0,0,0,0
BKLARCNY,0.4736059860598606,0.6822468224682247,0,0,0,0
SEVYRSTMANY,0.6021935219352194,0.6806068060680607,0,0,0,0
BKOTH,0.46976219762197624,0.6801968019680197,0,0,0,0
HERRXOPYR,0.6055760557605576,0.6789667896678967,0,0,0,0
LSDFLAG,0.6493439934399344,0.6789667896678967,0,0,0,0
BKFRAUD,0.5005637556375564,0.6779417794177941,0,0,0,0
BKARSON,0.4821135711357114,0.6769167691676917,0,0,0,0
CIGIRTBL,0.6519577695776957,0.6754817548175481,0,0,0,0
SVYRTQSDANY,0.6015272652726527,0.6750717507175071,0,0,0,0
ILTOBVAPALC,0.5244977449774498,0.6748667486674867,0,0,0,0
SYNSTMREC,0.4739647396473965,0.6744567445674456,0,0,0,0
DIFOBTLSD,0.5453054530545305,0.6732267322673225,0,0,0,0
HPQTTOB,0.637761377613776,0.6728167281672817,0,0,0,0
OPIIMFNMYR2,0.5829233292332923,0.6707667076670768,0,0,0,0
MJEATMON,0.5648831488314883,0.6707667076670766,0,0,0,0
FULSD18,0.5994259942599426,0.6699466994669946,0,0,0,0
FPIMFANYYR2,0.4241492414924149,0.6691266912669126,0,0,0,0
BKDRUG,0.47165846658466587,0.6670766707667077,0,0,0,0
BKSRVIOL,0.47304223042230426,0.6670766707667077,0,0,0,0
FUCOC21,0.6076260762607626,0.6670766707667076,0,0,0,0
TOBVNICFLAG,0.5660106601066011,0.6650266502665027,0,0,0,0
TRQNMFLAG,0.611521115211152,0.6642066420664207,0,0,0,0
ILLALCMON,0.471709717097171,0.6637966379663797,0,0,0,0
ILTOBALCMN,0.47765477654776545,0.6625666256662567,0,0,0,0
FLTMRKEVER2,0.5720582205822058,0.6617466174661747,0,0,0,0
RSKCIGPKD,0.5649343993439935,0.6613366133661337,0,0,0,0
SNRLFRND,0.5823083230832309,0.6613366133661337,0,0,0,0
UD5HROPANY,0.5800533005330053,0.6605166051660517,0,0,0,0
ILLEMMON2,0.6497539975399754,0.6601066010660107,0,0,0,0
WRKEFFORT,0.5439729397293973,0.6601066010660106,0,0,0,0
