variable,n_estados_train,n_nan_train,pct_nan_train,pct_mas_frecuente_train,modulo,tipo_variable
RXHYDMANY2,3,82,0.21670762969423085,99.16488279288565,RECODED DRUG USE,Binaria
RXMTDNANY2,3,82,0.21670762969423085,99.27587938370465,RECODED DRUG USE,Binaria
OTHRPNRANY2,3,386,1.0201115251460133,95.26678823436137,RECODED DRUG USE,Binaria
RXBZOTANY,3,22,0.05814107138137899,91.81532281508497,RECODED DRUG USE,Binaria
RXALPRANY,3,30,0.07928327915642591,95.5389941594651,RECODED DRUG USE,Binaria
RXLORAANY,3,32,0.08456883110018765,97.46293506699438,RECODED DRUG USE,Binaria
RXCLONANY,3,32,0.08456883110018765,97.79328206347948,RECODED DRUG USE,Binaria
RXDIAZANY,3,34,0.08985438304394937,98.30862337799626,RECODED DRUG USE,Binaria
RXMRLXANY,3,41,0.10835381484711543,97.06651867121224,RECODED DRUG USE,Binaria
RXCYCLANY,3,41,0.10835381484711543,97.2382991093845,RECODED DRUG USE,Binaria
