variable_1,variable_2,n_comunes,correlacion_spearman,correlacion_absoluta
CIGAGLST,HLCNOTMO,692,0.05508511959752755,0.05508511959752755
BMI2,WRKNJBWKS,3242,-0.0542161414215304,0.0542161414215304
ALCNUMDKPM,NMVSOPT2,17137,-0.05381468965660169,0.05381468965660169
CIGAVGM,MRJYLU,632,-0.05309972221233727,0.05309972221233727
ECSTMOAGL,MRJYLU,541,0.053013246913572315,0.053013246913572315
DIABETEAG,WTPOUND2,2869,-0.052911532905708235,0.052911532905708235
HALLYRLST,NRCH17_2,1495,-0.052020580708966015,0.052020580708966015
HALLAGLST,HALLYRLST,1571,0.051920836994583074,0.051920836994583074
NRCH17_2,WTPOUND2,33265,0.051491771050973974,0.051491771050973974
LSDAGLST,WRKDHRSWK2,2158,0.05135542124162122,0.05135542124162122
HTINCHE2,NRCH17_2,33297,-0.05109953096896207,0.05109953096896207
ALCNUMDKPM,CIGARYLU,1331,-0.05094686514234822,0.05094686514234822
ALCNUMDKPM,EDUSCKCOM,1361,0.05079603593666179,0.05079603593666179
EDUSKPCOM,WTPOUND2,3280,-0.05029388109830586,0.05029388109830586
BMI2,HTINCHE2,36033,-0.05009053962340912,0.05009053962340912
INHLAGLST,NRCH17_2,3225,-0.04977045276606363,0.04977045276606363
BMI2,LSDAGLST,3584,0.04972789700396795,0.04972789700396795
MRJAGLST,WRKSKIPMO,1163,-0.04926005157809389,0.04926005157809389
HRTCONDAG,NMNGTHS2,544,0.049192075936716324,0.049192075936716324
HLCNOTMO,HTINCHE2,1979,0.04901349397932928,0.04901349397932928
BMI2,WRKLASTYR2,10603,-0.04881887259066807,0.04881887259066807
ALCNUMDKPM,HALLAGLST,4067,0.04866020914197281,0.04866020914197281
ALCNUMDKPM,CGRAGLST,6077,0.04805496139718087,0.04805496139718087
HRTCONDAG,WRKDHRSWK2,1020,-0.04761879255963836,0.04761879255963836
ALCNUMDKPM,ECSTMOAGL,1997,0.04710877230664219,0.04710877230664219
MRJAGLST,NRCH17_2,10875,0.04687563210016661,0.04687563210016661
ALCYLU,INHLAGLST,622,0.046737120940909926,0.046737120940909926
CIGAVGM,WTPOUND2,4964,0.046131530119120155,0.046131530119120155
MRJAGLST,WRKSICKMO,2243,-0.045723697773717424,0.045723697773717424
HLCNOTMO,WRKDHRSWK2,1160,0.04512023166717937,0.04512023166717937
NMNGTHS2,NRCH17_2,2387,-0.04486124354909577,0.04486124354909577
HTINCHE2,SMKAGLAST,3735,0.04465518147975798,0.04465518147975798
HALLAGLST,MRJYLU,1126,0.044511376663356625,0.044511376663356625
KIDNYDSAG,WTPOUND2,670,0.04439767645404697,0.04439767645404697
ALCAGLST,HTINCHE2,11409,-0.044199949010522155,0.044199949010522155
BMI2,EDUSKPCOM,3266,-0.04366799327405303,0.04366799327405303
CIGAVGM,NMVSOPT2,4851,0.04331567731643505,0.04331567731643505
CIGARYLU,MRJAGLST,760,0.04316144219336702,0.04316144219336702
BMI2,KIDNYDSAG,668,0.04296950087180543,0.04296950087180543
CIGYLU,NMERTMT2,2041,-0.041599453740587475,0.041599453740587475
HTINCHE2,WRKNJBWKS,3266,-0.041576311870659806,0.041576311870659806
CIGARYLU,HALLAGLST,613,0.04082231829592151,0.04082231829592151
NMERTMT2,WRKDHRSWK2,20241,-0.04012117532889744,0.04012117532889744
ALCNUMDKPM,CIGAVGM,2761,0.04003380020876454,0.04003380020876454
MRJYLU,WRKLASTYR2,992,0.03994051711405013,0.03994051711405013
BMI2,COCAGLST,4490,0.039899649967880306,0.039899649967880306
ALCNUMDKPM,BMI2,17484,-0.03983650172417058,0.03983650172417058
ALCAGLST,MRJYLU,1209,0.03940803833682205,0.03940803833682205
COCAGLST,HALLYRLST,639,-0.03879866335278071,0.03879866335278071
BMI2,INHLAGLST,3404,-0.038655693765941974,0.038655693765941974
METHAGLST,NMVSOPT2,1534,-0.03840140268178257,0.03840140268178257
BMI2,EDUSCKMON,927,-0.037852672942716895,0.037852672942716895
CIGARYLU,WRKDHRSWK2,1197,0.03749377656124387,0.03749377656124387
BMI2,ECSTMOAGL,3052,0.037403355752411285,0.037403355752411285
ALCNUMDKPM,NRCH17_2,16392,-0.03711344016587048,0.03711344016587048
NMVSOPT2,SMKAGLAST,3648,0.03689556282070897,0.03689556282070897
CRKAGLST,HTINCHE2,1053,0.0367506891303275,0.0367506891303275
