variable,modulo,rol_provisional,n_unicos,pct_nan,uso_provisional,motivo_uso
STMNM30ES,STIMULANTS,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMNM30AL,STIMULANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMWYNORX,STIMULANTS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMWYGAMT,STIMULANTS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMWYOFTN,STIMULANTS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMWYLNGR,STIMULANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMWYOTWY,STIMULANTS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMNDLYR,STIMULANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMNDLREC,STIMULANTS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMNMLAS1,STIMULANTS,Predictor candidato,27,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMRSWGHT,STIMULANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMRSCONC,STIMULANTS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMRSALRT,STIMULANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMRSSTDY,STIMULANTS,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMRSEXPT,STIMULANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMRSHIGH,STIMULANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMRSDGFX,STIMULANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMRSHOOK,STIMULANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMRSSOR,STIMULANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMRSOTRS2,STIMULANTS,Predictor candidato,16,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMRSMAIN,STIMULANTS,Predictor candidato,15,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
STMNORXFG,STIMULANTS,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
