variable,tipo,n_presentes,n_unicos,n_nan,pct_nan,modulo,notas,rol_provisional,etiqueta_codebook,ref_fuente,n_ref,documentada_codebook,tipo_version
IIOTHHLT,int64,47299,3,0,0.0,IMPUTED HEALTH INSURANCE,,Predictor candidato,OTHER HEALTH INSURANCE - IMPUTATION INDICATOR,"ANYHLTI2, CAIDCHIP, CHAMPUS, IRCHMPUS, IRMCDCHP, IRMEDICR, IRPRVHLT, MEDICARE, PRVHLTIN",9,True,Imputada
HLCALLFG,int64,47299,2,0,0.0,RECODED HEALTH INSURANCE,,Predictor candidato,FLAG IF EVERY FORM OF HEALTH INS REPORTED,,0,True,Recodificada
HLCALL99,int64,47299,2,0,0.0,RECODED HEALTH INSURANCE,,Predictor candidato,YES TO MEDICARE/MEDICAID/CHAMPUS/PRVHLTIN,,0,True,Recodificada
ANYHLTI2,int64,47299,5,0,0.0,RECODED HEALTH INSURANCE,,Predictor candidato,COVERED BY ANY HEALTH INSURANCE - RECODE,"CAIDCHIP, CHAMPUS, HLTINNOS, MEDICARE, PRVHLTIN",5,True,Recodificada
IRINSUR4,int64,47299,2,0,0.0,RECODED HEALTH INSURANCE,,Predictor candidato,RC-OVERALL HEALTH INSURANCE - IMPUTATION REVISED,"IRCHMPUS, IRMCDCHP, IRMEDICR, IROTHHLT, IRPRVHLT",5,True,Recodificada
IIINSUR4,int64,47299,2,0,0.0,RECODED HEALTH INSURANCE,,Predictor candidato,RC-OVERALL HEALTH INSURANCE - IMPUTATION INDICATOR,"IRCHMPUS, IRMCDCHP, IRMEDICR, IROTHHLT, IRPRVHLT",5,True,Recodificada
OTHINS,int64,47299,2,0,0.0,RECODED HEALTH INSURANCE,,Predictor candidato,"RC-HEALTH INSURANCE OTHER THAN PRIVATE, MEDICAID/CHIP","IRCHMPUS, IRMEDICR, IROTHHLT",3,True,Recodificada
CELLWRKNG,int64,47299,6,0,0.0,INCOME,,Predictor candidato,WORKING CELL PHONE,CELL2,1,True,Original u otra
CELLNOTCL,int64,47299,6,0,0.0,INCOME,,Predictor candidato,NOT A CELL PHONE,CELL1,1,True,Original u otra
IRFAMSOC,int64,47299,2,0,0.0,IMPUTED INCOME,,Predictor candidato,FAM RECEIVE SS OR RR PAYMENTS - IMPUTATION REVISED,,0,True,Imputada
IIFAMSOC,int64,47299,2,0,0.0,IMPUTED INCOME,,Predictor candidato,FAM RECEIVE SS OR RR PAYMENTS - IMPUTATION INDICATOR,,0,True,Imputada
IRFAMSSI,int64,47299,2,0,0.0,IMPUTED INCOME,,Predictor candidato,FAM RECEIVE SSI - IMPUTATION REVISED,,0,True,Imputada
IIFAMSSI,int64,47299,2,0,0.0,IMPUTED INCOME,,Predictor candidato,FAM RECEIVE SSI - IMPUTATION INDICATOR,,0,True,Imputada
IRFSTAMP,int64,47299,2,0,0.0,IMPUTED INCOME,,Predictor candidato,RESP/OTH FAM MEM REC FOOD STAMPS - IMPUTATION REVISED,,0,True,Imputada
IIFSTAMP,int64,47299,2,0,0.0,IMPUTED INCOME,,Predictor candidato,RESP/OTH FAM MEM REC FOOD STAMPS - IMPUTATION INDICATOR,,0,True,Imputada
IRFAMPMT,int64,47299,2,0,0.0,IMPUTED INCOME,,Predictor candidato,FAM RECEIVE PUBLIC ASSIST - IMPUTATION REVISED,,0,True,Imputada
IIFAMPMT,int64,47299,2,0,0.0,IMPUTED INCOME,,Predictor candidato,FAM RECEIVE PUBLIC ASSIST - IMPUTATION INDICATOR,,0,True,Imputada
IRFAMSVC,int64,47299,2,0,0.0,IMPUTED INCOME,,Predictor candidato,FAM REC WELFARE/JOB PL/CHILDCARE - IMPUTATION REVISED,,0,True,Imputada
