variable,etiqueta_codebook,modulo,tipo_version,pct_valores_informativos,rol_final_eda
EDUSKPCOM,RC - HOW MANY DAYS MISSED SCHOOL FROM SKIPPING (COMBINED),EDUCATION,Original u otra,8.852,Predictor principal
MILTFAMLY,ANY IMMEDIATE FAMILY CURRENTLY IN US MILITARY,EDUCATION,Original u otra,95.896,Predictor principal
MILTSPPAR,SPOUSE OR PARTNER IN MILITARY,EDUCATION,Original u otra,6.099,Predictor principal
MILTPARNT,FATHER OR MOTHER IN MILITARY,EDUCATION,Original u otra,6.078,Predictor principal
MILTCHLDR,SON OR DAUGHTER IN MILITARY,EDUCATION,Original u otra,6.061,Predictor principal
MILTSIBLN,SISTER OR BROTHER IN MILITARY,EDUCATION,Original u otra,6.099,Predictor principal
ENRLCOLLFT2,RC-COLLEGE ENROLLMENT-FULL TIME,RECODED EDUCATION,Recodificada,100.0,Predictor principal
ENRLCOLLST2,RC-COLLEGE ENROLLMENT,RECODED EDUCATION,Recodificada,100.0,Predictor principal
WRKSTATWK2,WORK SITUATION IN PAST WEEK - RECODE,EMPLOYMENT,Original u otra,96.044,Predictor principal
WRKDPSTWK,WORK AT JOB LAST WEEK,EMPLOYMENT,Original u otra,96.03,Predictor principal
WRKHADJOB,DID YOU HAVE A JOB OR BUSINESS,EMPLOYMENT,Original u otra,39.895,Predictor principal
WRKDHRSWK2,HOW MANY HOURS WORKED LAST WEEK,EMPLOYMENT,Original u otra,55.642,Predictor principal
WRK35WKUS,USUALLY WORK 35 OR MORE HRS PER WEEK,EMPLOYMENT,Original u otra,61.325,Predictor principal
WRKRSNNOT,REASON FOR NOT WORKING AT JOB - PAST WK,EMPLOYMENT,Original u otra,5.376,Predictor principal
WRKRSNJOB,REASON FOR NOT HAVING A JOB - PAST WK,EMPLOYMENT,Original u otra,34.119,Predictor principal
WRKEFFORT,"PAST 30 DAYS, MAKE EFFORT TO FIND WORK",EMPLOYMENT,Original u otra,6.827,Predictor principal
WRKDPSTYR,"PAST 12 MOS, WORKED AT ANY JOB",EMPLOYMENT,Original u otra,34.646,Predictor principal
WRKSELFEM,"PAST 12 MOS, SELF EMPLOYED",EMPLOYMENT,Original u otra,70.114,Predictor principal
WRKNUMJOB2,"PAST 12 MOS, HOW MANY EMPLOYERS",EMPLOYMENT,Original u otra,70.259,Predictor principal
WRKNJBPYR,"PAST 12 MOS, TIME WITH NO JOB",EMPLOYMENT,Original u otra,61.257,Predictor principal
WRKNJBWKS,HOW MANY WKS W/O JOB IN PAST 12 MOS,EMPLOYMENT,Original u otra,8.787,Predictor principal
WRKLASTYR2,WHAT YEAR LAST WORKED,EMPLOYMENT,Original u otra,33.047,Predictor principal
WRKSICKMO,# DAYS MISSED WORK FOR INJURY/ILLNESS PAST 30 DAYS,EMPLOYMENT,Original u otra,60.762,Predictor principal
WRKSKIPMO,# DAYS SKIPPED WORK PAST 30 DAYS,EMPLOYMENT,Original u otra,60.79,Predictor principal
IRWRKSTAT,EMPLOYMENT STATUS - IMPUTATION REVISED,IMPUTED EMPLOYMENT,Imputada,100.0,Predictor principal
IIWRKSTAT,EMPLOYMENT STATUS - IMPUTATION INDICATOR,IMPUTED EMPLOYMENT,Imputada,100.0,Excluir de variables de entrada
II2WRKSTAT,EMPLOYMENT STATUS - DETAILED IMPUTATION INDICATOR,IMPUTED EMPLOYMENT,Imputada,100.0,Excluir de variables de entrada
IRWRKSTAT18,EMPLOYMENT STATUS 18+ - IMPUTATION REVISED,IMPUTED EMPLOYMENT,Imputada,100.0,Predictor principal
IIWRKSTAT18,EMPLOYMENT STATUS 18+ - IMPUTATION INDICATOR,IMPUTED EMPLOYMENT,Imputada,100.0,Excluir de variables de entrada
II2WRKST18,EMPLOYMENT STATUS 18+ - DETAILED IMPUTATION INDICATOR,IMPUTED EMPLOYMENT,Imputada,100.0,Excluir de variables de entrada
EDFAM18,RC-EDITED INDICATOR: FAMILY IN HH 18 OR OLDER,HOUSEHOLD COMPOSITION (ROSTER),Original u otra,96.708,Predictor principal
NRCH17_2,RECODED # R's CHILDREN < 18 IN HOUSEHOLD,HOUSEHOLD COMPOSITION (ROSTER),Original u otra,96.408,Predictor principal
IRHHSIZ2,RECODE - IMPUTATION-REVISED # PERSONS IN HH,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),Imputada,100.0,Predictor principal
IIHHSIZ2,IRHHSIZ2-IMPUTATION INDICATOR,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),Imputada,100.0,Excluir de variables de entrada
IRKI17_2,RECODE - IMPUTATION-REVISED # KIDS AGED<18 IN HH,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),Imputada,100.0,Predictor principal
IIKI17_2,IRKI17_2-IMPUTATION INDICATOR,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),Imputada,100.0,Excluir de variables de entrada
IRHH65_2,REC - IMPUTATION-REVISED # OF PER IN HH AGED>=65,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),Imputada,100.0,Predictor principal
IIHH65_2,IRHH65_2-IMPUTATION INDICATOR,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),Imputada,100.0,Excluir de variables de entrada
PRXRETRY,"SELECTED PROXY UNAVAILABLE, OTHER PROXY AVAILABLE?",PROXY INFORMATION,Original u otra,1.579,Excluir de variables de entrada
PRXYDATA,IS PROXY ANSWERING INSURANCE/INCOME QS,PROXY INFORMATION,Original u otra,9.558,Excluir de variables de entrada
MEDICARE,COVERED BY MEDICARE,HEALTH INSURANCE,Original u otra,96.139,Predictor principal
CAIDCHIP,COVERED BY MEDICAID/CHIP,HEALTH INSURANCE,Original u otra,95.746,Predictor principal
CHAMPUS,"COV BY TRICARE, CHAMPUS, CHAMPVA, VA, MILITARY",HEALTH INSURANCE,Original u otra,96.271,Predictor principal
PRVHLTIN,COVERED BY PRIVATE INSURANCE,HEALTH INSURANCE,Original u otra,95.852,Predictor principal
