variable,nombre,modulo,tipo_version,n_unicos,pct_nan,tipo_entrada
CIG1PACK,RC-SMKED 1+ PCK OF CIGS PER DAY AMNG DLY SMKERS (1/0),RECODED DRUG USE,Recodificada,2,92.835,Categórica
CIGAVGD,RC-AVG NUMBER OF CIGARETTES SMOKED PER DAY,RECODED DRUG USE,Recodificada,7,86.182,Categórica
CIGAVGM,RC-NUMBER OF CIGARETTES SMOKED PER USER IN PAST MONTH,RECODED DRUG USE,Recodificada,142,86.182,Numérica
ALCNUMDKPM,RC-NUMBER OF ALC BEVS DRANK PER USER IN PAST MONTH,RECODED DRUG USE,Recodificada,199,52.248,Numérica
FUCIG18,RC-FIRST USED CIGARETTES PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0,Categórica
FUCIG21,RC-FIRST USED CIGARETTES PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0,Categórica
FUCD218,RC-FIRST USED CIGARETTES DAILY PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0,Categórica
FUCD221,RC-FIRST USED CIGARETTES DAILY PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0,Categórica
FUCGR18,RC-FIRST USED CIGARS PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0,Categórica
FUCGR21,RC-FIRST USED CIGARS PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0,Categórica
FUSMKLSS18,RC-FIRST USED SMOKELESS TOBACCO PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0,Categórica
FUSMKLSS21,RC-FIRST USED SMOKELESS TOBACCO PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0,Categórica
